name,address,phone,type,email
Центр дошкольного образования «Дастур»,"мкр. Мамыр 7, 8Д","87015318232, 87026837878",детский сад,omarovdarkhan@gmail.com
"Детский сад ""Капельки Счастья""","мкр. Куаныш, 56","87019810813, 87272639689",детский сад,bestcompany08@mail.ru
"Детский сад ""Zere""","мкр. 3, 72","87770091222, 87012222161",детский сад,gkalekeev@mil.ru
"Детский сад ""Қарлығаш""","мкр. Алтын Бесик, 168","87078744888, 87078744888",детский сад,sveta_usenbaeva@mail.ru
"Образовательный центр ""Арайлым""","мкр. Баянаул, 40","87078160000, 87078160000",детский сад,arailym.aimaty@mail.ru
"Детский сад ""Р. Мұрагер""","мкр. Мамыр 4, 149","87784183842, 87779306633",детский сад,Erubaevazhanar@list.ru
"Мини-центр ""Лучик""","пр. Райымбека, 482ж","87780002635, 87780002635",детский сад,Luchuk.00@mail.ru
"Детский сад ""Нұр Сәби""","мкр. Аксай 1А, 10в","87011135685, 87272271854",детский сад,nazym.25.90@mail.ru
Детский сад «Еркежан»,"мкр. Алтын бесік, 223","87711202220, 87272306838",детский сад,Erkezhansad@mail.ru
"Детский сад ""Білім""","мкр. Мамыр 4, 4б","87474016138, 87076039493",детский сад,zhadon89@mail.ru
"Детский сад ""ЗАЙКА ФИЛИАЛ""","ул. Аманжол, 6","87758934101, 87273296713",детский сад,zaikasadik@bk.ru
Ақниет Образовательный Центр,"мкр. Мамыр 4, 58","87027711040, 87076078004",детский сад,aigera_juman@mail.ru
"Детский сад ""Дамодара""","ул. Садовникова, 186","87071010134, 87071010134",детский сад,damodarakz@yandex.ru
"Детский сад ""Байтемировы""","мкр. Алтын бесік, 189","87714213724, 87714213724",детский сад,kbaitemirova@mail.ru
Центр развития личности «Теремок»,"ул. Мустай Карим, 1а","87777665096, 87272555300",детский сад,alist79@mail.ru
"Детский сад ""i.Bala 2""","мкр. Мамыр 4, 18","87073197832, 87273800096",детский сад,zhumabekova-samal@mail.ru
"Детский Центр ""Умка""","мкр. Аксай 3а, 85","87071899154, 87273816757",дошкольный мини-центр,center.umka@mail.ru
"Детский сад ""Alina-kids-1""","мкр. Мамыр-4, 210","87078187939, 87272333239",детский сад,chke_1956@mail.ru
"Детский образовательный центр ""Умка""","ул. Сулейменова, 26В","87777022242, 87273013498",дошкольный мини-центр,centrumka@bk.ru
"Детский сад ""NURJANAR""","ул. Центральная, 153","87072340500, 87072340500",детский сад,monti-club@mail.ru
"Мини-центр ""AlibiNurAru""","ул. Саттарханова, 3","87017991635, 87017991635",дошкольный мини-центр,aizere_sad@mail.ru
"Детский сад ""Ару kids""","мкр. Алмас, 201","87078744888, 87078744888",дошкольный мини-центр,sveta_usenbaeva@mail.ru
"Детский сад ""Зере ""","мкр. Атамекен, 70Б","87478440270, 87272555573",детский сад,kristina_kulakova_1995@bk.ru
"Детский сад ""Вундеркинд Л и Г""","ул. Бутина, 13","87017222804, 87273176751",детский сад,vunderkind08@mail.ru
"Детский сад ""Тимас компани""","мкр. Атамекен, 33/1","87757993398, 87272555350",детский сад,mtalgatm@mail.ru
"Детский сад ""Dameli MK""","мкр. Жетысу-3, 59","87771017728, 87273098878",детский сад,Medeo.1@mail.ru
"Детский сад ""ДОЦ-Керемет""","мкр. Мамыр-4, 72","87017997739, 87273816328",детский сад,keremet_kz@mail.ru
"Детский сад ""Дияр""","ул. Акжунис, 9а","87762602183, 87762602183",детский сад,diana83_kz@mail.ru
"Детский сад ""СТУПЕНЬКИ""","мкр. Аксай-2, 70А","87019262111, 87272688723",детский сад,stupenki75@mail.ru
"Детский сад ""СӘТТІЛІК & БОЛАШАҚ""","мкр. Мамыр 3, 3А","87077916031, 87272551632",детский сад,aset97@mail.ru
"Детский сад ""АЛИМ""","мкр. 2, 7А","87078800293, 87272771385",детский сад,detsadalim@mail.ru
"Детский сад ""Қонжықтар""","ул. Римова, 11","87071115508, 87071115508",детский сад,alia_konaev@mail.ru
"Детский сад ""Айналайын""","ул. Мырзагалиева, 44","87771501570, 87272397778",детский сад,detsad.2005@mail.ru
"Детский сад ""РАДУГА-Land""","ул. Тохтарова, 6","87077022092, 87077022092",детский сад,raduga.land@mail.ru
"Детский сад ""ШамШер""","мкр. Мамыр 4, 128","87078303404, 87272515530",детский сад,akdyrmayeva@gmail.com
"Детский сад ""Бэйби-Ленд""","ул. Ыкылас, 26/1","87775698107, 87272472575",детский сад,madishak@inbox.ru
"Мини-центр ""Айнур-86""","мкр. Жетысу 2, 2А","87074655773, 87272265271",дошкольный мини-центр,lunasolnse91@mail.ru
"Детский сад ""ЕЛАМАН""""","мкр. Баянаул, 56","87017370563, 87273979353",детский сад,zaikasadik@bk.ru
"Детский сад ""Сакобай""","ул. Трудовая, 58","87784385704, 87273818435",детский сад,Julds@mail.ru
"Детский сад "" ТОЦ Өнер ""","ул. Мухамеджанова, 42","87476304202, 87272391319",детский сад,orynbassarova_93@mail.ru
"Мини-центр ""Үкілі Үміт""","мкр. 3, 9А","87077357589, 87472735664",дошкольный мини-центр,ukili_umit@mail.ru
"Детский сад ""Садок ltd""","мкр. Алмас, 172","87017809396, 87017809396",детский сад,son_ekaterina@mail.ru
"Мини-центр ""АйДиНур""","мкр. Мамыр 4, 156","87471770666, 87471770666",дошкольный мини-центр,bkulambaeva@mail.ru
"Детский сад ""Алтын Алма""","мкр. Атамекен, 192","87071295988, 87272556171",детский сад,vip.altynalma@mail.ru
Детский сад «Kids Club – Детский клуб»,"Территория СТ Ветеран, 5","87012113305, 87012113305",детский сад,info@kids-club.kz
"Детский сад ""Мир детства 1""","мкр. Баянаул, 40","87077558888, 87077558888",детский сад,temirbek.raushan@mail.ru
"Детский сад ""ДИАР""","2-й мкр., 40Г","87473399737, 87272553522",детский сад,marina_73t@mail.ru
"Детский сад ""Айсәт""","ул. Әнет баба, 37","87789442028, 87272272331",детский сад,kenesbaevam@list.ru
"Детский сад ""Мир Детства""","ул. Цветочная, 1/4","87772829292, 87272931488",детский сад,botagoz@mir-detstva.kz
"Детский сад ""Родничок-4""","ул. Набережная, 43","87029042224, 87272450379",детский сад,Sadik-rodnichok4@mail.ru
"Детский сад ""Жан -Дария""","ул. Акшагыл, 23","87472707593, 87472707593",детский сад,dariya.abdibek.14@bk.ru
"Детский сад ""Алтын Болашақ""","ул. Фаризы Онгарсыновой, 106","87021359825, 87075931808",детский сад,rano.r@mail.ru
"Образовательный центр ""Алладин""","ул. Кокшокы, 6а","87075858918, 87075858918",детский сад,Alladin.sadik@mail.ru
"Детский сад ""Адилек""","ул. Аханова, 58","87073511656, 87073511656",ясли-сад,detsad_adilek2017@mail.ru
"Детский сад ""Қошақан""","ул. Наурызбаева, 35","87071056113, 87071056113",детский сад,koshakan_2018@mail.ru
"Детский сад ""Ботақан""","ул. Центральная, 70/1","87001250695, 87001250695",детский сад,xalykbergen@mail.ru
"Детский ясли-сад ""Қонжық""","ул. Доспанова, 13","87054340944, 87072340944",детский сад,detsadkonzhyk@mail.ru
"Детский сад ""HappyLand""","ул. Степная, 11А","87079969216, 87079969216",детский сад,a.zhakebayeva@mail.ru
"Детский сад ""Ақсұнқар""","ул. Игілік, 11","87074449431, 87074449431",детский сад,erkemai4ik@mail.ru
"Детский сад ""Тоғжан даму""","ул. Жети Казына, 13","87072264129, 87273164700",детский сад,Togzhand@mail.ru
"Мини-центр ""СОЛНЫШКО""","ул. Жағалтай, 8/1","87784617967, 87784617967",дошкольный мини-центр,baia-daria@mail.ru
"Детский сад ""Алпамыс 2010""","ул. Ерменсай, 9/1","87475571233, 87272471339",детский сад,akma_10.07@mail.ru
"Детский сад ""Ертарғын""","ул. Арқалық, 19/6","87077040861, 87077040861",детский сад,lsalykzhan@mail.ru
"Детский сад ""Хан-Тәңірі-7""","ул. Василия Бенберина, 38/1","87022300000, 87022300000",детский сад,madik149@mail.ru
"Детский сад ""Жеті Бата""","ул. Чойбалсана, 7","87773533655, 87273811281",детский сад,medeuova_asel@mail.ru
"Мини-центр ""Акимбекова""","ул. Аркалык, 19/1","87028949469, 87028949469",дошкольный мини-центр,Akimbekova08@mail.ru
"Детский сад ""Бексұлтан 7""","ул. Кокжайлау, 7","87027308024, 87027308024",детский сад,beksultan-7_2017@mail.ru
"Детский сад ""Үкі""","ул. Жалантос Бахадур, 47","87756122988, 87273953515",детский сад,dana_74@mail.ru
"Детский сад ""Балауса""","ул. Ахметова, 30","87472286601, 87273860500",детский сад,nurbekov02@mail.ru
"Детский сад ""Роза""","ул. Аубакирова, 118","87773533655, 87272459772",детский сад,roza.ds@mail.ru
"Детский сад ""Алди-Ерке-1"" (филиал)","мкр. Туркестан, 77","87015999888, 87015999888",балабақша,zhanna-nurlan@mail.ru
Детский сад «КinderVille»,"ул. Жеруйык, 18","87776801591, 87714577885",детский сад,kinderville.detsad@gmail.com
"Детский сад ""Нұр-Сәт1""","ул. Абылай хан, 10","87074813682, 87772657440",детский сад,anara-kaira@mail.ru
"Детский сад ""Baby Center""","ул. Талдыарал, 3","87756515569, 87471147348",детский сад,milena_22_11@mail.ru
"Детский-сад ""Аяла""","ул. Аркалык, 52А","87028949469, 87028949469",детский сад,Akimbekova08@mail.ru
"Детский сад ""Аян-Ай""","ул. Жидели, 42","87014060931, 87014060931",детский сад,aian_ai@mail.ru
"Детский сад ""Мерей компани""","ул. Текес, 67","87014044424, 87014044424",детский сад,tursunbekova_81@mail.ru
"Детский сад ""БАҚЫТ АРАЛШЫҚ - ОСТРОВОК СЧАСТЬЯ""","ул. Молодежная, 91","87018880345, 87029580105",детский сад,8478111@gmail.com
"Мини-центр ""Баурай""","ул. Өтемісұлы, 111","87070043587, 87070043587",дошкольный мини-центр,bauray.bauray@mail.ru
"ТОО ""Нұр-Раян-1""","ул. Ахметова, 38","87473293265, 87016377292",детский сад,nkaynbaeva@mail.ru
"Детский сад ""Молдир-2""","ул. Жанкожа батыр, 73","87057790007, 87051581321",детский сад,too_moldir88@mail.ru
"Детский сад ""С. Ақерке""","ул. Еспаева, 80/1","87714891615, 87021009929",детский сад,akerke.c@mail.ru
"ТОО ""Ниет 7""","ул. Аханова, 4/6","87026662876, 87026662876",дошкольный мини-центр,makpal_149@mail.ru
"Детский сад ""Шаңырақ"" (филиал)","ул. Отемисулы, 161Б","87473317041, 87029742378",детский сад,sadik660101@mail.ru
"Детский сад ""Ай-Күн"" (филиал)","мкр. Нуркент, 5/26","87027465555, 87075388010",детский сад,nur70.00@mail.ru
"Детский сад ""Ерке""","ул. Ахметова, 57","87072213140, 87072213140",детский сад,kymbat.khamitova.2020@bk.ru
"Мини-центр ""Kindergarten Montessori""","ул. Уркер, 19/105","87017060082, 87017060082",дошкольный мини-центр,dakot88@mail.ru
"ТОО ""Күн Шуақ2""","мкр. Шанырак, 68","87079858487, 87079858487",дошкольный мини-центр,eaika1987@mail.ru
"Детский сад ""БАҚЫТТЫ BABY""","мкр. Мадениет, 238","87078162204, 87474115393",детский сад,bayttybaby@mail.ru
"Детский сад ""Биғайша""","ул. Бекболата, 29/1","87028000999, 87273840054",детский сад,sadik.bigajsha@bk.ru
"Детский сад ""Жан бөпе""","ул. Еспаев, 80","87074347902, 87074347902",детский сад,too.janbope@mail.ru
"Детский сад ""БАЛ ДАУРЕН ШАК""","ул. Ақбұлақ, 35а","87071754901, 87272758583",детский сад,shattyk290486@mail.ru
"Детский сад ""ERKETAI-2""","ул. Талбесик, 32","87077207555, 87272450701",детский сад,det_sad_erketai@mail.ru
"Мини-центр ""Акбота К.Н.""","ул. Бабыр, 4","87783677220, 87783677220",дошкольный мини-центр,too_akbota2017@mail.ru
"Детский сад ""Балдырган""","ул. Жалайыри, 8/1","87478364439, 87478064439",детский сад,kalykulova1991@gmail.com
"Детский сад ""Aisad Company""","ул. Еспаева, 73","87075415418, 87272707800",детский сад,aisad.kindergarden@gmail.com
"Детский сад ""ИБОСИК""","ул. Байтенова, 102","87471183499, 87273938286",детский сад,sadvakacova_@mail.ru
"Детский сад ""Арша""","ул. Тауелсиздик, 1","87755165436, 87755165436",детский сад,Arsha77777@mail.ru
"Детский сад ""Арман""","мкр. Мадениет, 288/30","87473882860, 87071025420",детский сад,arman.bb.18@mail.ru
"Детский сад ""Ашамай""","ул. Ушкын, 17","87078028876, 87272976362",детский сад,zhexembekova1962@mail.ru
"Детский сад ""Erketai""","ул. Талбесик, 65","87077207555, 87272450701",детский сад,det_sad_erketai@mail.ru
"Детский сад ""Зерде-2""","ул. Тайконыр, 41","87076167995, 87076167995",детский сад,saule_03.76@mail.ru
"ТОО ""Шалқар Алматы Бөбекжай Балабақшасы""","ул. Памирская, 7","87756726633, 87273017633",ясли-сад,saulgul@mail.ru
Детский сад «Ақбота К»,"ул. Фаризы Онгарсыновой, 78","87054642345, 87273079291",детский сад,Akbota.K.bb@bk.ru
"Детский сад ""Кун Шуак-М""","ул. Туймебаева, 68","87479290382, 87479290382",детский сад,Metod_aigul2017@mail.ru
"Детский сад ""Ақ-Патша""","ул. Мамбетова, 150","87762228651, 87718476393",детский сад,akpatsha787@mail.ru
"Детский сад ""Тұмар-А""","Квартал Жаңа құрылыс, 211","87474531190, 87273195278",детский сад,tumar_160418@mail.ru
"Детский сад ""Еламан 2020""","ул. Балпық би, 18/1","87071169540, 87273934397",дошкольный мини-центр,SHAKECOM@MAIL.RU
Детский сад «Ертөстік»,"ул. Доспановой, 26","87071228781, 87071228781",детский сад,too-imran@mail.ru
"Детский сад ""Молдир Булак 2018""","ул. Наурызбаева, 33","87012251838, 87474161180",детский сад,bakit-12@mail.ru
"Детский сад ""Венера""","ул. Сапиева, 6","87027308015, 87027308015",дошкольный мини-центр,beksultan_7@mail.ru
"Детский сад ""Раушан Аяла""","ул. Атырау, 4","87479582092, 87479582092",детский сад,adlet_raushan.love@mail.ru
"Детский сад ""Нұр Бөбегі""","ул. Доспанова, 17","87088588968, 87088588968",детский сад,nurbobegi_dsad@mail.ru
"ТОО ""Жұлдызым"" детский сад ""Тарлан""","ул. Тастобе, 16","87017880503, 87017880503",детский сад,zh.shakirova@mail.ru
"Детский сад ""АЙГОЛЕК""","ул. Балкудык, 6/1","87077573380, 87077573380",детский сад,venera1980@mail.ru
"Мини-центр ""ЕЛАМАН-КЫЗЫР""","ул. Чуланова, 83","87473173651, 87770143340",дошкольный мини-центр,sadik.elaman@bk.ru
"Детский сад ""Айша""","ул. Ақтілек, 8","87011414696, 87011414696",детский сад,uldar.edilova.60@mail.ru
"Детский сад ""Жанерке"" (филиал)","ул. Аркалык, 19Б","87024294343, 87071011643",детский сад,lsalykzhan@mail.ru
Детский сад «Азя»,"ул. Байтенева, 129","87019254958, 87272454594",детский сад,sadvakacova_@mail.ru
Детский сад «Бакуня»,"ул. Центральная, 165","87027588825, 87027588825",детский сад,bakunya_sadik@mail.ru
"Детский сад ""Лаяна""","ул. Койтас, 17","87078787014, 87273850840",детский сад,layana_balabaksha@mail.ru
"Детский сад ""Оспан 05""","ул. Жапсарбаева, 45","87024469176, 87272454154",детский сад,baimuxanova1976@mail.ru
"Детский сад ""ОЦ ""Аяна""","ул. Талдыарал, 12а","87782682023, 87782682023",детский сад,oc_ayana@mail.ru
"Детский сад ""Нұр Болашақ""","ул. Онгарсыновой, 15","87021359825, 87075931808",детский сад,ashykbolashak@mail.ru
"Детский сад ""АҚҚУ""","ул. Черемушки 2, 15а","87078076605, 87272940104",детский сад,uchkach58@mail.ru
"Детский сад ""Амирхан-А""","ул. Федченко, 17","87754887997, 87273813415",детский сад,ms.ms.Laura@mail.ru
"Детский сад ""Алуа Kids""","ул. Талдыарал, 12а","87077064687, 87077064687",детский сад,alua.kids@mail.ru
"Детский сад ""Еркемай""","ул. Доспанова, 22","87478260989, 87081735976",детский сад,meiramgul-86@mail.ru
"Детский сад ""Болашақ и Со""","ул. Казтуган Жырау, 21","87478721494, 87478721494",детский сад,bolashak.too@gmail.com
"Детский сад ""Зерде""","ул. Тайконыр, 41","87076167995, 87076167995",детский сад,ali.gulshat@mail.ru
Детский сад «Baby Балдаурен»,"ул.Беделбай, 4","87479388198, 87479388198",детский сад,Babybaldauren@mail.ru
Детский сад «Родничок»,"ул. Аптечная, 22","87753196247, 87272450379",,fatya_hishanlo@mail.ru
"Детский сад ""Айто-К""","ул. Балтабай, 74","87074949231, 87273818435",детский сад,erik77a@mail.ru
"Детский сад ""Мәржол""","ул. Арқалық, 68","87073320393, 87714631418",детский сад,bauray.sad@mail.ru
"Детский сад ""Ledi Di""","ул. Османова, 1Д","87025612756, 87025612756",детский сад,2563811@mail.ru
Детский сад «i.Сәби»,"ул. Бегазы, 1в","87028414506, 87028414506",детский сад,I.sabi@list.ru
"Детский сад ""Күнбағыс""","ул. Магистральная, 17","87087697020, 87754180055",детский сад,kunbagis-k@mail.ru
"ТОО детский сад ""Бала-Дария""","ул. Онгарсынова, 184А","87013197081, 87013197081",детский сад,bala-dariya@mail.ru
Детский сад «Акбопе»,"Мамытов көш., 94/13","87029742378, 87029742378",детский сад,sadik660101@gmail.com
"Детский сад ""Жас сұңқар""","ул. Центральная, 1/23","87077040861, 87077040861",детский сад,lsalykzhan@mail.ru
"ТОО детский сад ""Төре - Зере""","ул. Текес, 79","87021021024, 87476578380",детский сад,tore.zere.84@bk.ru
"Детский сад ""Нур-Даурен""","ул. Отемисулы, 26","87014808084, 87272458740",детский сад,nur-dauren-sad@mail.ru
"ТОО мини-центр ""АльДамиРам""","ул. Юсупа Цунвазо, 11","87078397376, 87272450671",детский сад,aldamiram@mail.ru
"ТОО ""Микитоша""","ул. Азаттык, 11","87772688828, 87272459025",детский сад,Layilay.n@mail.ru
"ТОО детский сад ""Akuna Matata""","ул. Аралкум, 6","87471808145, 87017799145",детский сад,akuna_sad@mail.ru
"детский сад ""Адина""","ул. Тауасарова, 68","87024469176, 87024469176",детский сад,baimuxanova1976@mail.ru
"ТОО детский сад ""Құралай Кидс""","ул. Доспанова, 20","87082353935, 87272212808",детский сад,quralai_kids@mail.ru
"детский сад ""Балдаурен""","ул. Айналмалы, 138","87078529836, 87078529836",детский сад,baldauren_sadik@bk.ru
"ТОО детский сад ""KINDERLY""","ул. Шубартал, 3","87781818105, 87781818105",детский сад,Sholpanjan.90@mail.ru
"ТОО детский сад ""Тәтті балақай""","ул. Арқалық, 7","87056104488, 87056104488",детский сад,tattibalaqai@gmail.com
"ТОО детский сад ""АдиРай""","ул. Алпамыс, 125/1","87079305861, 87079305861",детский сад,bota_1516@mail.ru
"ТОО детский сад ""Медина-2""","ул. Керуен, 33","87773088885, 87773088885",детский сад,medina2-balabakwwasy21@mail.ru
"ТОО ""Детский сад Бекося""","ул. Курти, 18","87076167995, 87076167995",детский сад,bekasyl.detsadik@mail.ru
"ТОО детский сад ""Шаңырақ-2 Балабақша""","ул. Рахимова, 67","87759837600, 87759837600",детский сад,ainura_nur84@mail.ru
"ТОО детский сад ""ALDAR GROUP""","ул. Туймебаева, 67","87478640569, 87471586809",детский сад,erlan_91mgm@mail.ru
"ТОО детский сад ""Кең әлем""","ул. Акшагыл, 2/1","87024514067, 87024514067",детский сад,makpalsapieva@gmail.com
"ТОО детский сад ""Nursila kids""","ул. Балкарагай, 3","87083935625, 87077064687",детский сад,nursila.kids@mail.ru
"ТОО детский сад ""Хан-9""","ул. Аркалык, 25/1","87027308024, 87027308024",детский сад,Beksultan-7_2017@mail.ru
"ТОО детский сад ""Ақтілек_С""","ул. Бертайкызы, 44","87071137066, 87071137066",детский сад,Julds@mail.ru
"ТОО детский сад ""Шахназар Н""","ул. Жанаарка, 25","87024023228, 87272684733",детский сад,shah.sadik@bk.ru
"ТОО детский сад ""ZAM-ZAM.KZ""","ул. Шектибай, 613","87478018858, 87478018858",детский сад,zam-zam.kz@bk.ru
"ТОО детский сад ""Aibala-2020""","ул. Аркалык, 76","87476668387, 87476668387",детский сад,biglsinkelisken@gmail.com
"детский сад ""Sabi English""","ул. Байтерекова, 29","87077772208, 87077971040",детский сад,dostyk-atp@mail.ru
"ТОО детский сад ""Інжу BABY LAND""","ул. Жанкожа батыр, 156","87079858487, 87079858487",детский сад,kunsh19@mail.ru
"ТОО мини-центр ""УОЦ ""Медина""","ул. Айналмалы, 141","87773088885, 87773088885",детский сад,medina_kaz@mail.ru
"ТОО ""Буген""","ул. Новостройка, 4","87476169943, 87476169943",детский сад,Bugen_Kaz@mail.ru
"ТОО мини-центр ""Еркеназ 1""","ул. Казмис 1, 132","87475913485, 87475913485",детский сад,aselhan2019@mail.ru
"Детский сад ""BoBo""""","ул. Акшагыл, 28/3","87018273333, 87018273333",детский сад,saulebai1010@gmail.com
"детский сад ""AIZARA""","ул. Байдібек би, 134","87473293265, 87016377292",детский сад,nkaynbaeva@mail.ru
"""Aykorkem"" балабақшасы","ул. Серикбаева, 32","87014044424, 87273701254",детский сад,Gul-jan85@mail.ru
"ТОО мини-центр ""Балабақша Нұрислам""","ул. Жангельдина, 15","87476329935, 87476329935",детский сад,N_kamilla_@mail.ru
"ТОО детский сад ""Ханшайым и Б""","ул. Құрсары, 28","87027619461, 87273196231",детский сад,bulgyn.azerbayeva@bk.ru
"ТОО ""BAL-bala 1 балабақшасы""","ул. Туймебаева, 39","87024254079, 87024254079",детский сад,ainurlesovna@mail.ru
ТОО «Центр детского развития «Алгабас-2»,"Улица Фаризы Онгарсыновой, 148/2","87084928280, 87017839592",детский сад,gulnaz020202@mail.ru
"ТОО ""Балабакша ""Болашақ""","ул. Асанова, 77","87014191891, 87014191891",детский сад,balabaksha_bolashak@mail.ru
"ТОО ""Ясли сад ""Бекасыл""","ул. Агайынды Кожыковтар, 35а","87072100861, 87009976099",ясли-сад,bekasyl300919@mail.ru
"Детский Сад ""Baby boom""","ул. Макатаева, 14/2","87471141473, 87471141473",детский сад,M.Omirbaeva87@mail.ru
"ТОО ""Ай-Азель"" детский сад ""Ali-Bi""","ул. Омирзакова, 91","87475000622, 87475000622",детский сад,ai-azel@mail.ru
"ТОО детский сад ""Arsen-Ai""","ул. Жаухар, 5/1","87754499801, 87273079212",детский сад,bagdatov95@bk.ru
ТОО «Кенжегали и Т»,"ул. Торебек Османова, 5А","87018260760, 87018260760",детский сад,kenzhegali.i.k@mail.ru
"детский сад ""Азима"" (филиал)","ул. Еспаева, 74","87088588968, 87758978939",детский сад,nurbobegi_dsad@mail.ru
"ТОО ""Детский сад Родничок-3"" (филиал)","ул. Кожаберген Жырау, 17","87753196247, 87753196247",детский сад,fatya_hishanlo@mail.ru
"ТОО детский сад ""NAZ""","ул. Тойшыбек Батыр, 68","87479290382, 87479290382",детский сад,Metod_aigul2017@mail.ru
"детский сад ""Sanya""","ул. Жетысу квартал, 58","87017191315, 87018470188",детский сад,sanya-detsad@mail.ru
"детский сад ""Самұрық""","ул. Касыма Шарипова, 83","87088588968, 87758978939",детский сад,too_baiterek_kids@mail.ru
ТОО «Центр детского развития «Алгабас-2» (филиал),"ул. Естемесова, 2","87082257923, 87017839592",детский сад,gulnaz020202@mail.ru
"ТОО детский сад ""Mia Bambini""","мкр. Аккент, 23","87074823559, 87074823559",детский сад,mia.bambini@mail.ru
"детский сад ""Айым"" (филиал)","мкр. Дарабоз, 55","87075424204, 87273860500",детский сад,nurbekov02@mail.ru
"ТОО детский сад ""Танзила""","мкр. Ақкент, 44","87475058185, 87475058185",детский сад,almanbetovab@mail.ru
"ТОО детский сад ""Балашым 2""","ул. Отырарская, 15","87089742931, 87089742931",детский сад,balashym_alatau@mail.ru
"ТОО ""детский сад Зейн""","ул. Багаева, 12","87076006648, 87076006648",детский сад,zeyin.sadik@gmail.com
"ТОО детский сад ""Адэль и К""","ул. Мугалжар, 23","87077101797, 87077101797",детский сад,detskyi_sad_adelik@mail.ru
"ТОО детский сад ""Biznes-Academy""","ул. Үкілім, 4","87055386647, 87055386647",детский сад,Biznes_academy@mail.ru
"ТОО детский сад ""Baby Academia""","ул. Жас отау, 8","87752151624, 87752151624",детский сад,baby-academy1312@mail.ru
"ТОО детский сад ""Ақназар-1""","ул. Доспанова, 43","87026644982, 87026644982",детский сад,aknazar_balabakshasy@mail.ru
"ТОО ""Детский сад Алан""","ул. Мамытова, 65","87022300000, 87022300000",детский сад,azizokkkkk@mail.ru
"ТОО детский сад ""Satti Amina""","ул. Шамелова, 39","87073479933, 87073479933",детский сад,dimah2007@mail.ru
"ТОО ""Zangar балабақшасы""","ул. Касыма Шарипова, 168","87753520418, 87753520418",детский сад,asilka995@mail.ru
"ТОО детский сад ""Bal-Balam""","ул. Сейдолла Байтерекова, 101","87775903887, 87775903887",детский сад,sholpan_18@mail.ru
ТОО Ясли сад «Happy kids»,"ул. Кожаберген Жырау, 19","87476660236, 87476660236",детский сад,shattik_95_123@mail.ru
"ТОО детский сад ""БАЛ САПАР""","ул. Чуланова, 83","87474480125, 87474480125",детский сад,balsapar_balabakshasy@mail.ru
"ТОО ""Даркан К Н"" детский сад ""Торсык""","ул. Аубакирова, 124","87753363786, 87753363786",детский сад,dkokabayev@bk.ru
"ТОО ""Болашақ АН"" детский сад ""Айтұмар kids""","ул. Бегазы, 24","87759837600, 87758698117",детский сад,aitumarkids@mail.ru
"ТОО ""Ailin2021"" детский сад ""Айгөлек""","ул. Нурмаханова, 49","87076369036, 87076369036",детский сад,aigul_smagulova_2022@mail.ru
"ТОО детский сад ""ДАРИЯ Kids""","ул. Жанкожа батыр, 156","87759279087, 87759279087",детский сад,dariya.kids@bk.ru
"ТОО ""Детский сад Ақсұнкар""","ул. Сыздыкова, 52а","87017995221, 87017995221",детский сад,nur1115@mail.ru
"ТОО ""Зейін балабақшасы""","ул. Бердыгулова, 186","87079414730, 87079414730",детский сад,zein.sadik@gmail.com
"ТОО детский сад ""Раяна-Н""","ул. Бойтумар, 19","87477560661, 87477560661",детский сад,rayana.detskiysad.21@mail.ru
"ТОО ""Ясли-сад ""Түймеқыз""","ул. Бекболата, 20","87471538443, 87471538443",детский сад,dream7.85@mail.ru
"ТОО детский сад ""МуслимХАН-ХАН""","ул. Тупкараган, 56","87478220000, 87072026096",детский сад,bota.kenzheshova@bk.ru
"ТОО детский сад ""KinderVille"" (новый)","ул. Бестөре, 58","87714577885, 87272470211",детский сад,kinderville.detsad@gmail.com
"ТОО детский сад ""ZhanKids""","ул. Туздыкол, 2","87078729768, 87078729768",детский сад,daumbakovavenera@gmail.com
"ТОО детский сад ""БАҚ-ИСЛАМ""","ул. Ақшағыл, 41","87076369036, 87076369036",детский сад,erkinkyzy_2016@mail.ru
"ТОО детский сад ""Ақниет&Айым""","ул. Жаналык, 8","87028949469, 87028949469",детский сад,akimbekova08@mail.ru
"ТОО ""НҰҚ"" детский сад ""Бақ""","ул. Утемисова, 111","87719893251, 87719893251",детский сад,bak_2023@mail.ru
"ТОО детский сад ""Бақыт нұры""","ул. Кожаберген Жырау, 19","87758198289, 87085410491",детский сад,aseka0522@mail.com
"ТОО детский сад ""Еркеназ 1""","ул. Туйемойнак, 47а","87754873777, 87475913485",детский сад,aselhan2019@mail.ru
"ТОО детский сад ""Royal Kids""","ул. Аркалык, 31","87052686725, 87052686725",детский сад,aslan@olzha.com
"ТОО детский сад ""G-Aisha""","ул. Ахрименко, 49г","87057288954, 87057288954",детский сад,z.zhado@inbox.ru
"ТОО детский сад ""Сержан- К""","ул. Аркалык, 6/1","87475057975, 87073006298",детский сад,azamat_kids@mail.ru
"ТОО детский сад ""As-salyam 2""","ул. Калжана Нурмаханова, 37","87478466504, 87478466504",детский сад,aigera_juman@mail.ru
"ТОО детский сад ""ZANGAR"" kindergarten""","ул. Орбұлақ, 94","87472719912, 87472719912",детский сад,Nasnur_72_72@mail.ru
"ТОО детский сад ""Бала, бала, балақай!""","ул. Куанышбаева, 98","87053995008, 87053995008",детский сад,zhazira.abuova.76@mail.ru
